"","year","fold.out","alpha","FP","TP","FN","TN","hull.area"
"1",2015,1,1128.37916709551,317,473,18,174,79017414.2462637
"2",2016,1,1128.37916709551,110,393,51,334,267860535.139048
"3",2017,1,1128.37916709551,15,117,65,167,329356881.251525
"4",2018,1,1128.37916709551,169,506,266,603,669489488.561142
"5",2019,1,1128.37916709551,73,798,638,1363,1675274877.15634
"6",2020,1,1128.37916709551,23,413,316,706,2105506951.12589
"7",2021,1,1128.37916709551,56,713,263,920,2302251358.9862
"8",2022,1,1128.37916709551,109,873,518,1282,2645142091.72146
"9",2023,1,1128.37916709551,170,1361,579,1770,2984666380.88246
"10",2024,1,1128.37916709551,202,1475,372,1645,3309264387.78498
"11",2025,1,1128.37916709551,117,887,334,1104,3563635323.44791
"12",2026,1,1128.37916709551,0,4,1,5,3596401737.36114
"13",2015,2,1128.37916709551,317,477,14,174,76858827.9142562
"14",2016,2,1128.37916709551,149,395,49,295,269084997.465434
"15",2017,2,1128.37916709551,12,104,78,170,314601219.770827
"16",2018,2,1128.37916709551,193,504,268,579,646286645.101741
"17",2019,2,1128.37916709551,68,771,665,1368,1638090725.08459
"18",2020,2,1128.37916709551,25,380,348,703,2057748447.9952
"19",2021,2,1128.37916709551,62,722,254,914,2301556674.83517
"20",2022,2,1128.37916709551,113,888,504,1279,2593566222.49665
"21",2023,2,1128.37916709551,191,1390,551,1750,2958116102.60471
"22",2024,2,1128.37916709551,207,1447,399,1639,3288301280.69614
"23",2025,2,1128.37916709551,108,864,356,1112,3520950916.29185
"24",2026,2,1128.37916709551,0,2,4,6,3514654392.83922
"25",2015,3,1128.37916709551,321,464,26,169,71452511.8288249
"26",2016,3,1128.37916709551,122,388,55,321,267309571.546022
"27",2017,3,1128.37916709551,15,110,72,167,313147649.957774
"28",2018,3,1128.37916709551,194,504,267,577,650025284.924104
"29",2019,3,1128.37916709551,64,764,673,1373,1650622948.7756
"30",2020,3,1128.37916709551,25,399,330,704,2089503614.80788
"31",2021,3,1128.37916709551,52,739,238,925,2312337737.19624
"32",2022,3,1128.37916709551,111,854,537,1280,2626954913.86407
"33",2023,3,1128.37916709551,172,1349,591,1768,3017698324.68368
"34",2024,3,1128.37916709551,192,1452,395,1655,3361670916.8081
"35",2025,3,1128.37916709551,139,851,370,1082,3605098499.16136
"36",2026,3,1128.37916709551,0,5,0,5,3597316026.1115
"37",2015,4,1128.37916709551,342,479,12,149,80192402.6636366
"38",2016,4,1128.37916709551,134,385,59,310,249151332.868703
"39",2017,4,1128.37916709551,14,110,72,168,303393557.005872
"40",2018,4,1128.37916709551,169,525,247,603,639229057.056128
"41",2019,4,1128.37916709551,61,758,678,1375,1636897459.41204
"42",2020,4,1128.37916709551,28,373,355,700,2030336375.68936
"43",2021,4,1128.37916709551,60,718,258,916,2253246652.52791
"44",2022,4,1128.37916709551,116,891,501,1276,2584572848.44089
"45",2023,4,1128.37916709551,183,1393,548,1758,2970917742.27057
"46",2024,4,1128.37916709551,186,1448,398,1660,3281688786.72799
"47",2025,4,1128.37916709551,112,896,324,1108,3539352826.67546
"48",2026,4,1128.37916709551,0,3,3,6,3614366595.84027
"49",2015,5,1128.37916709551,353,483,8,138,79438595.9887197
"50",2016,5,1128.37916709551,140,380,64,304,254287348.62368
"51",2017,5,1128.37916709551,12,107,75,170,303284503.64537
"52",2018,5,1128.37916709551,186,516,256,586,636207423.600582
"53",2019,5,1128.37916709551,56,776,660,1380,1657477967.35674
"54",2020,5,1128.37916709551,22,412,317,707,2043100712.32929
"55",2021,5,1128.37916709551,49,705,271,927,2259944615.11128
"56",2022,5,1128.37916709551,135,859,532,1256,2581040697.11566
"57",2023,5,1128.37916709551,163,1385,555,1777,2953218983.00694
"58",2024,5,1128.37916709551,216,1469,378,1631,3249566285.89246
"59",2025,5,1128.37916709551,114,884,337,1107,3513552338.35297
"60",2026,5,1128.37916709551,0,2,3,5,3554024443.94093
"61",2015,1,2256.75833419103,368,483,8,123,158649528.817818
"62",2016,1,2256.75833419103,151,422,22,293,520651700.345813
"63",2017,1,2256.75833419103,16,133,49,166,835871948.313275
"64",2018,1,2256.75833419103,264,612,160,508,2019549430.64011
"65",2019,1,2256.75833419103,130,1093,343,1306,6309092698.98948
"66",2020,1,2256.75833419103,56,527,202,673,7667471248.31476
"67",2021,1,2256.75833419103,86,774,202,890,8274836314.48215
"68",2022,1,2256.75833419103,176,990,401,1215,9704570379.23995
"69",2023,1,2256.75833419103,258,1492,448,1682,10793441987.646
"70",2024,1,2256.75833419103,266,1586,261,1581,11891086677.38
"71",2025,1,2256.75833419103,165,966,255,1056,12871595261.6369
"72",2026,1,2256.75833419103,0,3,2,5,12813119540.1118
"73",2015,2,2256.75833419103,370,483,8,121,145977774.847324
"74",2016,2,2256.75833419103,140,420,24,304,526021799.3101
"75",2017,2,2256.75833419103,15,121,61,167,776531047.710406
"76",2018,2,2256.75833419103,290,621,151,482,2006567268.94069
"77",2019,2,2256.75833419103,125,1085,351,1311,6155938373.38496
"78",2020,2,2256.75833419103,47,510,218,681,7495331132.1829
"79",2021,2,2256.75833419103,96,802,174,880,8140028068.74176
"80",2022,2,2256.75833419103,167,1022,370,1225,9875035932.73679
"81",2023,2,2256.75833419103,210,1541,400,1731,10996909717.8115
"82",2024,2,2256.75833419103,285,1569,277,1561,12143099945.7314
"83",2025,2,2256.75833419103,150,957,263,1070,12979338015.2902
"84",2026,2,2256.75833419103,0,5,1,6,13037417209.9121
"85",2015,3,2256.75833419103,354,478,12,136,145221367.372974
"86",2016,3,2256.75833419103,145,412,31,298,522135758.694925
"87",2017,3,2256.75833419103,23,129,53,159,801561296.588974
"88",2018,3,2256.75833419103,286,602,169,485,1964374042.26552
"89",2019,3,2256.75833419103,125,1084,353,1312,6441239305.53076
"90",2020,3,2256.75833419103,53,515,214,676,7946665025.66658
"91",2021,3,2256.75833419103,91,787,190,886,8617622711.06151
"92",2022,3,2256.75833419103,153,979,412,1238,10249950063.7976
"93",2023,3,2256.75833419103,219,1482,458,1721,11186029687.8894
"94",2024,3,2256.75833419103,280,1549,298,1567,12425192114.064
"95",2025,3,2256.75833419103,129,947,274,1092,13307747318.8275
"96",2026,3,2256.75833419103,0,5,0,5,13304453718.6656
"97",2015,4,2256.75833419103,378,484,7,113,152649365.176947
"98",2016,4,2256.75833419103,161,422,22,283,555618641.267799
"99",2017,4,2256.75833419103,24,130,52,158,847908504.476177
"100",2018,4,2256.75833419103,265,622,150,507,2061315928.87447
"101",2019,4,2256.75833419103,117,1069,367,1319,6182508927.09714
"102",2020,4,2256.75833419103,39,496,232,689,7646917696.94262
"103",2021,4,2256.75833419103,73,784,192,903,8182401384.16932
"104",2022,4,2256.75833419103,195,1016,376,1197,9671968476.12549
"105",2023,4,2256.75833419103,230,1544,397,1711,10892003956.6236
"106",2024,4,2256.75833419103,303,1561,285,1543,11955402369.8423
"107",2025,4,2256.75833419103,158,975,245,1062,12824769026.5748
"108",2026,4,2256.75833419103,0,6,0,6,12838703022.5197
"109",2015,5,2256.75833419103,372,489,2,119,146941887.73108
"110",2016,5,2256.75833419103,153,424,20,291,553603291.815551
"111",2017,5,2256.75833419103,23,128,54,159,873255208.431782
"112",2018,5,2256.75833419103,281,621,151,491,2035985788.86311
"113",2019,5,2256.75833419103,108,1061,375,1328,6146169111.21437
"114",2020,5,2256.75833419103,45,538,191,684,7715260514.92434
"115",2021,5,2256.75833419103,72,797,179,904,8408141155.80293
"116",2022,5,2256.75833419103,163,1020,371,1228,9901609862.29985
"117",2023,5,2256.75833419103,210,1510,430,1730,10945033797.7687
"118",2024,5,2256.75833419103,265,1556,291,1582,12078451935.4297
"119",2025,5,2256.75833419103,161,971,250,1060,12977656804.5579
"120",2026,5,2256.75833419103,0,2,3,5,13054964195.3834
"121",2015,1,3385.13750128654,396,487,4,95,189796208.891356
"122",2016,1,3385.13750128654,168,427,17,276,706601133.702327
"123",2017,1,3385.13750128654,27,142,40,155,1315994318.63607
"124",2018,1,3385.13750128654,330,675,97,442,3909640481.03318
"125",2019,1,3385.13750128654,186,1276,160,1250,14829898943.3743
"126",2020,1,3385.13750128654,92,601,128,637,17728697359.5448
"127",2021,1,3385.13750128654,76,823,153,900,19103313987.0323
"128",2022,1,3385.13750128654,192,1097,294,1199,22875980253.6621
"129",2023,1,3385.13750128654,302,1593,347,1638,25313791333.6621
"130",2024,1,3385.13750128654,336,1638,209,1511,26962030698.4991
"131",2025,1,3385.13750128654,174,1010,211,1047,28708268144.9472
"132",2026,1,3385.13750128654,0,3,2,5,28746657230.2688
"133",2015,2,3385.13750128654,376,486,5,115,181496642.213325
"134",2016,2,3385.13750128654,157,430,14,287,685191192.310047
"135",2017,2,3385.13750128654,21,133,49,161,1482238743.96893
