"","year","youdenJ","alpha_sel","alpha_sel_gmean","gmean","alpha_year","alpha_prime"
"1",2015,0.295843520782396,1128.37916709551,1128.37916709551,0.56321820500105,"1128.37916709551_2015",2000
"2",2016,0.608382154123479,2256.75833419103,2256.75833419103,0.791522460453908,"2256.75833419103_2016",4000.00000000001
"3",2017,0.686813186813187,6770.27500257308,6770.27500257308,0.84157889806104,"6770.27500257308_2017",12000
"4",2018,0.446747862140451,4513.51666838205,2256.75833419103,0.714943278233121,"4513.51666838205_2018",8000
"5",2019,0.771480295223506,5641.89583547756,5641.89583547756,0.883515664534494,"5641.89583547756_2019",9999.99999999999
"6",2020,0.739500411748559,9027.0333367641,7898.65416966859,0.86878750781973,"9027.0333367641_2020",16000
"7",2021,0.775660725261217,7898.65416966859,7898.65416966859,0.887557146615302,"7898.65416966859_2021",14000
"8",2022,0.700876814718988,6770.27500257308,6770.27500257308,0.849798360207446,"6770.27500257308_2022",12000
"9",2023,0.716862502576788,7898.65416966859,7898.65416966859,0.856785304318543,"7898.65416966859_2023",14000
"10",2024,0.695548575760858,2256.75833419103,2256.75833419103,0.847773995579039,"2256.75833419103_2024",4000.00000000001
"11",2025,0.685072914959856,3385.13750128654,3385.13750128654,0.842431915301797,"3385.13750128654_2025",6000
